hidden_layers,loss_types,learning_rates,epochs,batch_sizes,train,test
10-5-3-2,squared,0.03,500,2,4.07393821892119,4.05373034983123
4-4,huber,0.03,500,2,1.73046007215039,2.28660685995588
5-2,huber,0.03,500,2,1.0941073390053,1.4195821043564
6-3-2,huber,0.03,500,2,1.01418292261227,1.64188499396661
8-4-2,huber,0.03,500,2,1.00427413186396,1.61659056673507
7-4-3-2,huber,0.03,500,2,1.51386337655366,1.74071653064847
9-6-4-3,huber,0.03,500,2,0.7707316496871,1.77289353898084
10-5-3-2,huber,0.03,500,2,0.670850261237468,1.50925307533673
4-4,pseudo-huber,0.03,500,2,1.55993823037419,2.12571959086205
5-2,pseudo-huber,0.03,500,2,1.50108466998968,1.97284544708122
6-3-2,pseudo-huber,0.03,500,2,1.45055619418379,2.7734705804719
8-4-2,pseudo-huber,0.03,500,2,1.04678555551314,1.79434596825644
7-4-3-2,pseudo-huber,0.03,500,2,1.25150236802005,1.81448405441737
9-6-4-3,pseudo-huber,0.03,500,2,0.753701176040559,1.80957069925906
10-5-3-2,pseudo-huber,0.03,500,2,0.883453440578949,1.5096083175343
4-4,absolute,0.001,100,4,1.79057497775683,2.18915417542597
5-2,absolute,0.001,100,4,1.90424114658577,2.18675397659715
6-3-2,absolute,0.001,100,4,1.83427112603148,2.34792279757465
8-4-2,absolute,0.001,100,4,1.81225423100706,2.26482809200528
7-4-3-2,absolute,0.001,100,4,1.83752332356926,2.24999156495765
9-6-4-3,absolute,0.001,100,4,1.75954974941189,2.31003903091566
10-5-3-2,absolute,0.001,100,4,1.712705931185,2.23759236775281
4-4,squared,0.001,100,4,1.96854687473163,2.34585508982254
5-2,squared,0.001,100,4,1.95384266826437,2.30867509809885
6-3-2,squared,0.001,100,4,1.8862805774744,2.46659566472213
8-4-2,squared,0.001,100,4,2.02415338668257,2.42197996152178
7-4-3-2,squared,0.001,100,4,2.00559281347772,2.40056820779619
9-6-4-3,squared,0.001,100,4,1.90621835306018,2.5281504358122
10-5-3-2,squared,0.001,100,4,1.86738358183487,2.53962269250024
4-4,huber,0.001,100,4,2.00011092474399,2.31220405431858
5-2,huber,0.001,100,4,2.06625717633301,2.44381247800363
6-3-2,huber,0.001,100,4,2.05203147700169,2.41613385315525
8-4-2,huber,0.001,100,4,1.98030945399283,2.36646775888062
7-4-3-2,huber,0.001,100,4,2.01022899713035,2.46629393047263
9-6-4-3,huber,0.001,100,4,1.73818421747286,2.25189653056833
10-5-3-2,huber,0.001,100,4,2.10748962694472,2.54368229863836
4-4,pseudo-huber,0.001,100,4,2.01648594084184,2.35533152634646
5-2,pseudo-huber,0.001,100,4,1.9750274316521,2.33557514984416
6-3-2,pseudo-huber,0.001,100,4,2.07109025575286,2.34856226275338
8-4-2,pseudo-huber,0.001,100,4,2.10405393111295,2.40305070874526
7-4-3-2,pseudo-huber,0.001,100,4,2.06980549616953,2.29440046760399
9-6-4-3,pseudo-huber,0.001,100,4,1.99842019988834,2.2837397121833
10-5-3-2,pseudo-huber,0.001,100,4,1.90258495614501,2.31828911119545
4-4,absolute,0.003,100,4,1.89602254829072,2.36400224464243
5-2,absolute,0.003,100,4,1.93664833937356,2.38449577887501
6-3-2,absolute,0.003,100,4,1.83595365099113,2.2831703515625
8-4-2,absolute,0.003,100,4,1.58755956636715,2.29904223200485
7-4-3-2,absolute,0.003,100,4,1.53499544602302,2.10861507352716
9-6-4-3,absolute,0.003,100,4,2.08496632347207,2.55743456236228
10-5-3-2,absolute,0.003,100,4,1.7657026287421,2.30503808647906
4-4,squared,0.003,100,4,1.80225293634334,2.38027765360362
5-2,squared,0.003,100,4,1.9919925265259,2.35753481038424
6-3-2,squared,0.003,100,4,1.29829830140046,1.90200970162059
8-4-2,squared,0.003,100,4,1.73654639896814,2.37795713058769
7-4-3-2,squared,0.003,100,4,1.07924607022001,1.52630075208797
9-6-4-3,squared,0.003,100,4,1.44262325290402,2.37329390835847
10-5-3-2,squared,0.003,100,4,1.62480383987199,2.7470493989567
4-4,huber,0.003,100,4,1.96996061371195,2.30187673258783
5-2,huber,0.003,100,4,1.86599254330526,2.29489013616197
6-3-2,huber,0.003,100,4,1.94347447856881,2.37984399369106
8-4-2,huber,0.003,100,4,2.01879026836718,2.41137949993026
7-4-3-2,huber,0.003,100,4,1.87602541338939,2.31934101099892
